Wavelength,DsRed2 (EX),DsRed2 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),KO (EX),KO (EM),iRFP713 (EX),iRFP713 (EM),iRFP720 (EX),iRFP720 (EM),mOrange (EX),mOrange (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM),mScarlet (EX),mScarlet (EM),mCherry (EX),mCherry (EM),tdTomato (EX),tdTomato (EM)
387,0.0269,0.0,0.4667,0.1278,0.2412,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.025,0.0,0.037037,0.0,0.0545685,0.0,0.022624400000000003,0.0
388,0.0259,0.0,0.4375,0.1584,0.2506,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.023,0.0,0.037037,0.0,0.0532995,0.0,0.022624400000000003,0.0
389,0.0259,0.0,0.4031,0.1986,0.262,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.02,0.0,0.03448280000000001,0.0,0.0520305,0.0,0.022624400000000003,0.0
390,0.0259,0.0,0.3906,0.2439,0.273,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.018000000000000002,0.0,0.0319285,0.0,0.049492400000000006,0.0,0.022624400000000003,0.0
391,0.0259,0.0,0.3781,0.2792,0.2857,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.016,0.0,0.0293742,0.0,0.049492400000000006,0.0,0.0214932,0.0
392,0.026000000000000002,0.0,0.3656,0.3137,0.2984,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.013999999999999999,0.0,0.0280971,0.0,0.0469543,0.0,0.022624400000000003,0.0
393,0.0247,0.0,0.3531,0.3552,0.311,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.013000000000000001,0.0,0.026819900000000004,0.0,0.0456853,0.0,0.0214932,0.0
394,0.0233,0.0,0.2886,0.3875,0.3248,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.011000000000000001,0.0,0.0242656,0.0,0.0431472,0.0,0.0214932,0.0
395,0.0233,0.0,0.2517,0.4203,0.3392,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.01,0.0,0.0229885,0.0,0.0431472,0.0,0.020362,0.0
396,0.0233,0.0,0.2148,0.4577,0.3535,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.009000000000000001,0.0,0.021711400000000002,0.0,0.0418782,0.0,0.020362,0.0
397,0.0233,0.0,0.1819,0.4892,0.3695,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.008,0.0,0.020434200000000003,0.0,0.039340099999999996,0.0,0.020362,0.0
