Wavelength,DsRed2 (EX),DsRed2 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),iRFP713 (EX),iRFP713 (EM),iRFP720 (EX),iRFP720 (EM),mOrange (EX),mOrange (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM)
398,0.0233,0,0.1562,0.5189,0.3853,0,0,0,0,0,0.002,0,0,0,0.008,0
399,0.0233,0,0.1314,0.5446,0.402,0,0,0,0,0,0.002,0,0,0,0.007,0
400,0.0233,0,0.1079,0.5703,0.4191,0,0,0,0,0,0.002,0,0,0,0.006,0
401,0.0233,0,0.09,0.5911,0.4362,0,0,0,0,0,0.002,0,0,0,0.006,0
402,0.0233,0,0.0789,0.6105,0.4549,0,0,0,0,0,0.002,0,0,0,0.006,0
403,0.0233,0,0.0677,0.6299,0.4727,0,0,0,0,0,0.002,0,0,0,0.005,0
404,0.0247,0,0.0566,0.648,0.4903,0,0,0,0,0,0.002,0,0,0,0.005,0
405,0.026,0,0.0454,0.6657,0.509,0,0,0,0,0,0.002,0,0,0,0.005,0
406,0.0258,0,0.0343,0.6835,0.5266,0,0,0,0,0,0.003,0,0,0,0.005,0
407,0.0261,0,0.029,0.7015,0.5446,0,0,0,0,0,0.003,0,0,0,0.005,0
408,0.0267,0,0.0259,0.7195,0.5625,0,0,0,0,0,0.003,0,0,0,0.004,0
409,0.0277,0,0.0227,0.7385,0.5797,0,0,0,0,0,0.003,0,0,0,0.005,0
410,0.0284,0,0.0195,0.7575,0.5965,0,0,0,0,0,0.003,0,0,0,0.005,0
411,0.0285,0,0.0163,0.7762,0.6136,0,0,0,0,0,0.003,0,0,0,0.005,0
412,0.0285,0,0.0132,0.7949,0.6297,0,0,0,0,0,0.004,0,0,0,0.005,0
413,0.0285,0,0.01,0.8135,0.6475,0,0,0,0,0,0.004,0,0,0,0.005,0
414,0.0285,0,0.0068,0.8358,0.6633,0,0,0,0,0,0.004,0,0,0,0.005,0
415,0.0285,0,0.0056,0.8585,0.6803,0,0,0,0,0,0.004,0,0,0,0.005,0
416,0.0284,0,0.0057,0.8797,0.6976,0,0,0,0,0,0.005,0,0,0,0.005,0
417,0.029,0,0.0058,0.9007,0.7161,0,0,0,0,0,0.005,0,0,0,0.005,0
418,0.0311,0,0.0059,0.9171,0.7346,0,0,0,0,0,0.005,0,0,0,0.005,0
419,0.0329,0,0.006,0.9336,0.7541,0,0,0,0,0,0.006,0,0,0,0.005,0
420,0.0336,0,0.0062,0.9484,0.7724,0,0,0,0,0,0.006,0,0,0,0.005,0
421,0.0337,0,0.0065,0.9624,0.7933,0,0,0,0,0,0.006,0,0,0,0.005,0
422,0.0336,0,0.0073,0.9763,0.8134,0,0,0,0,0,0.007,0,0,0,0.005,0
423,0.035,0,0,0.9874,0.834,0,0,0,0,0,0.007,0,0,0,0.006,0
424,0.0363,0,0,0.9937,0.8553,0,0,0,0,0,0.008,0,0,0,0.006,0
425,0.0362,0,0,1,0.876,0,0,0,0,0,0.008,0,0,0,0.006,0
426,0.0365,0,0,0.9987,0.8957,0,0,0,0,0,0.008,0,0,0,0.006,0
427,0.0379,0,0,0.9966,0.9156,0,0,0,0,0,0.009,0,0,0,0.006,0
428,0.0389,0,0,0.9944,0.9333,0,0,0,0,0,0.009,0,0,0,0.007,0
429,0.0388,0,0,0.9922,0.9491,0,0,0,0,0,0.01,0,0,0,0.007,0
430,0.0397,0,0,0.9903,0.9647,0,0,0,0,0,0.011,0,0,0,0.007,0
431,0.0412,0,0,0.989,0.9764,0,0,0,0,0,0.011,0,0,0,0.007,0
432,0.0426,0,0,0.9877,0.9865,0,0,0,0,0,0.012,0,0,0,0.008,0
433,0.0441,0,0,0.9863,0.9937,0.0036,0,0,0,0,0.013,0,0,0,0.008,0
434,0.0456,0,0,0.985,0.9981,0.0037,0,0,0,0,0.014,0,0,0,0.008,0
