Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
161,2,Sirius,Violet,A,KO,Blue,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
162,2,Sirius,Violet,A,KO,Blue,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
163,0,Cerulean,Violet,B,KO,Yel/Grn,A,Sirius,Violet,A,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
164,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
165,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
166,2,Sirius,Violet,A,KO,Blue,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,A,mScarlet,Yel/Grn,B,
167,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
168,0,Sirius,Violet,A,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
169,0,Cerulean,Violet,B,Sirius,Violet,A,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
170,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
171,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,A,mScarlet,Yel/Grn,B,
172,0,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Sirius,Violet,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
173,0,Sirius,Violet,A,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,mPlum,Yel/Grn,C,
174,0,Sirius,Violet,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
175,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
176,0,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Sirius,Violet,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
177,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,A,mScarlet,Yel/Grn,B,
178,0,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,Sirius,Violet,A,mPlum,Yel/Grn,C,
179,0,KO,Yel/Grn,A,Cerulean,Violet,B,DsRed2,Yel/Grn,B,Sirius,Violet,A,mPlum,Yel/Grn,C,
180,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
181,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,A,mScarlet,Yel/Grn,B,
182,0,Sirius,Violet,A,Cerulean,Violet,B,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
183,0,KO,Yel/Grn,A,Cerulean,Violet,B,DsRed2,Yel/Grn,B,Sirius,Violet,A,mPlum,Yel/Grn,C,
184,0,Sirius,Violet,A,Cerulean,Violet,B,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
185,0,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Sirius,Violet,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
186,0,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Sirius,Violet,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
187,2,Sirius,Violet,A,KO,Blue,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
